school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y,_merge
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,4.0,5.0,5.0,1.0,3.0,1.0,4.0,16.0,17.0,18.0,mother,1.0,1.0,0.0,no,no,no,yes,yes,no,4.0,5.0,5.0,1.0,3.0,1.0,6.0,14.0,13.0,13.0,both
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,5.0,0.0,11.0,0.0,0.0,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,5.0,4.0,13.0,14.0,15.0,both
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1.0,1.0,0.0,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,8.0,10.0,11.0,mother,1.0,1.0,0.0,yes,yes,no,no,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,13.0,12.0,12.0,both
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2.0,2.0,2.0,no,no,yes,no,yes,yes,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,6.0,7.0,9.0,8.0,father,2.0,2.0,0.0,no,no,no,no,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,4.0,12.0,11.0,12.0,both
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1.0,2.0,1.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0,father,1.0,2.0,0.0,yes,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,13.0,12.0,12.0,both
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,2.0,14.0,14.0,14.0,both
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,5.0,2.0,9.0,11.0,11.0,mother,1.0,3.0,0.0,no,yes,no,yes,yes,no,4.0,2.0,2.0,1.0,1.0,5.0,2.0,13.0,13.0,13.0,both
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,16.0,16.0,15.0,mother,2.0,1.0,0.0,no,no,no,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,6.0,13.0,14.0,14.0,both
GP,F,15,U,LE3,A,2,1,at_home,other,home,,,,,,,,,yes,,yes,,,,,,,,,,,,mother,2.0,1.0,0.0,no,yes,no,yes,no,yes,4.0,4.0,2.0,1.0,1.0,5.0,0.0,11.0,10.0,10.0,right_only
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1.0,1.0,0.0,no,no,yes,no,yes,yes,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,10.0,13.0,13.0,mother,1.0,1.0,0.0,no,no,no,no,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,0.0,13.0,12.0,13.0,both
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,5.0,3.0,2.0,1.0,1.0,1.0,0.0,7.0,10.0,11.0,mother,1.0,2.0,0.0,yes,no,no,yes,yes,yes,5.0,3.0,2.0,1.0,1.0,1.0,0.0,10.0,11.0,11.0,both
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6.0,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,4.0,10.0,11.0,11.0,both
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1.0,2.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0,mother,1.0,2.0,0.0,yes,no,no,no,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,6.0,12.0,13.0,12.0,both
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,10.0,7.0,6.0,6.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,4.0,12.0,11.0,11.0,both
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,11.0,13.0,13.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,0.0,16.0,14.0,16.0,both
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0,10.0,10.0,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,13.0,12.0,12.0,both
GP,F,16,R,GT3,T,1,1,at_home,other,course,,,,,,,,,yes,,no,,,,,,,,,,,,mother,4.0,2.0,0.0,no,yes,no,no,yes,no,5.0,1.0,3.0,1.0,1.0,3.0,0.0,14.0,13.0,13.0,right_only
GP,F,16,R,GT3,T,1,1,other,services,reputation,,,,,,,,,yes,,no,,,,,,,,,,,,mother,2.0,1.0,0.0,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,1.0,8.0,12.0,11.0,11.0,right_only
GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,2.0,4.0,0.0,no,yes,yes,yes,no,yes,yes,no,5.0,3.0,5.0,1.0,1.0,5.0,6.0,10.0,10.0,11.0,mother,2.0,4.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,5.0,1.0,1.0,5.0,6.0,13.0,13.0,13.0,both
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1.0,3.0,1.0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,0.0,7.0,10.0,10.0,father,1.0,3.0,0.0,yes,yes,no,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,4.0,11.0,11.0,11.0,both
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4.0,2.0,3.0,4.0,6.0,10.0,11.0,11.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,2.0,4.0,4.0,2.0,3.0,4.0,0.0,17.0,16.0,16.0,both
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,8.0,9.0,10.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,2.0,12.0,13.0,12.0,both
GP,F,16,U,GT3,A,2,2,other,other,home,,,,,,,,,yes,,no,,,,,,,,,,,,mother,1.0,1.0,1.0,no,no,no,no,yes,no,5.0,3.0,4.0,1.0,1.0,5.0,12.0,13.0,11.0,11.0,right_only
GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4.0,1.0,1.0,4.0,0.0,12.0,13.0,14.0,mother,1.0,2.0,0.0,yes,yes,no,no,yes,no,3.0,3.0,4.0,1.0,1.0,4.0,0.0,13.0,13.0,13.0,both
GP,F,16,U,GT3,A,3,1,services,other,course,mother,1.0,2.0,3.0,no,yes,yes,no,yes,yes,yes,no,2.0,3.0,3.0,2.0,2.0,4.0,5.0,7.0,7.0,7.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,3.0,3.0,2.0,2.0,4.0,2.0,11.0,11.0,12.0,both
GP,F,16,U,GT3,A,3,3,other,other,course,other,2.0,1.0,2.0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,other,2.0,1.0,0.0,no,yes,no,yes,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,4.0,9.0,9.0,10.0,both
GP,F,16,U,GT3,A,3,4,services,other,course,father,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,2.0,1.0,1.0,4.0,5.0,16.0,12.0,11.0,11.0,father,1.0,1.0,0.0,no,no,no,no,yes,no,3.0,2.0,1.0,1.0,4.0,5.0,12.0,15.0,13.0,14.0,both
GP,F,16,U,GT3,A,4,1,other,other,home,,,,,,,,,yes,,yes,,,,,,,,,,,,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,5.0,3.0,3.0,1.0,2.0,5.0,0.0,14.0,13.0,13.0,right_only
GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2.0,1.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,4.0,5.0,6.0,9.0,9.0,10.0,mother,2.0,1.0,0.0,no,yes,no,no,yes,no,4.0,3.0,2.0,1.0,4.0,5.0,2.0,12.0,13.0,13.0,both
GP,F,16,U,GT3,T,1,1,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.0,8.0,11.0,father,4.0,1.0,0.0,yes,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,16.0,both
GP,F,16,U,GT3,T,1,2,other,other,course,,,,,,,,,yes,,yes,,,,,,,,,,,,mother,1.0,1.0,0.0,no,no,no,no,no,no,5.0,3.0,5.0,1.0,2.0,5.0,4.0,12.0,11.0,11.0,right_only
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,1.0,2.0,3.0,no,no,no,yes,no,yes,yes,yes,4.0,3.0,5.0,1.0,1.0,3.0,0.0,8.0,7.0,0.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,4.0,3.0,5.0,1.0,1.0,3.0,0.0,14.0,13.0,13.0,both
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,yes,4.0,3.0,5.0,1.0,1.0,5.0,2.0,8.0,9.0,10.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,4.0,3.0,5.0,1.0,1.0,5.0,0.0,13.0,12.0,12.0,both
GP,F,16,U,GT3,T,2,1,other,other,home,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,20.0,13.0,12.0,12.0,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,4.0,9.0,10.0,10.0,both
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,5.0,6.0,10.0,13.0,13.0,mother,1.0,2.0,1.0,yes,no,no,yes,yes,no,3.0,1.0,2.0,1.0,1.0,5.0,12.0,8.0,10.0,10.0,both
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,1.0,5.0,1.0,1.0,4.0,0.0,6.0,7.0,0.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,5.0,1.0,5.0,1.0,1.0,4.0,0.0,12.0,12.0,13.0,both
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1.0,2.0,0.0,no,no,yes,no,yes,yes,yes,yes,5.0,4.0,4.0,1.0,1.0,5.0,0.0,8.0,7.0,8.0,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,5.0,4.0,4.0,1.0,1.0,5.0,0.0,12.0,11.0,11.0,both
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1.0,4.0,0.0,no,no,yes,no,yes,yes,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11.0,11.0,11.0,mother,1.0,4.0,0.0,no,no,no,no,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,1.0,13.0,13.0,13.0,both
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2.0,2.0,0.0,no,no,yes,yes,no,yes,yes,no,3.0,4.0,4.0,1.0,4.0,5.0,2.0,13.0,13.0,11.0,mother,2.0,2.0,0.0,no,no,no,yes,yes,no,3.0,4.0,4.0,1.0,4.0,5.0,0.0,13.0,12.0,14.0,both
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1.0,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,6.0,10.0,11.0,12.0,both
GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4.0,4.0,3.0,1.0,3.0,4.0,6.0,8.0,10.0,10.0,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,no,4.0,4.0,3.0,1.0,3.0,4.0,4.0,11.0,12.0,12.0,both
GP,F,16,U,GT3,T,2,3,services,services,course,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,2.0,10.0,11.0,12.0,13.0,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,3.0,3.0,1.0,1.0,2.0,6.0,12.0,12.0,13.0,both
GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,1.0,2.0,0.0,yes,no,no,no,yes,yes,yes,no,2.0,3.0,1.0,1.0,1.0,3.0,2.0,16.0,16.0,17.0,mother,1.0,2.0,0.0,yes,no,no,no,yes,no,2.0,3.0,1.0,1.0,1.0,3.0,0.0,13.0,13.0,14.0,both
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,6.0,mother,1.0,4.0,0.0,yes,yes,no,no,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,0.0,10.0,9.0,10.0,both
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,1.0,2.0,2.0,1.0,2.0,1.0,14.0,12.0,13.0,12.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,1.0,2.0,2.0,1.0,2.0,1.0,8.0,14.0,15.0,16.0,both
GP,F,16,U,GT3,T,3,3,other,other,home,father,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0,father,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,0.0,11.0,13.0,13.0,both
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1.0,3.0,0.0,no,yes,yes,no,yes,yes,yes,yes,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7.0,7.0,8.0,mother,1.0,3.0,0.0,no,yes,no,no,yes,yes,4.0,3.0,3.0,1.0,3.0,4.0,2.0,9.0,11.0,11.0,both
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10.0,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,4.0,2.0,13.0,14.0,14.0,both
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11.0,12.0,11.0,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,4.0,11.0,11.0,11.0,both
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5.0,5.0,5.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,14.0,12.0,11.0,11.0,both
GP,F,16,U,GT3,T,4,2,health,services,home,father,1.0,2.0,0.0,no,no,yes,no,yes,yes,yes,yes,4.0,2.0,3.0,1.0,1.0,3.0,0.0,14.0,15.0,16.0,father,1.0,2.0,0.0,no,no,no,no,yes,yes,4.0,2.0,3.0,1.0,1.0,3.0,0.0,17.0,17.0,18.0,both
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,15.0,16.0,16.0,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16.0,15.0,16.0,both
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,1.0,0.0,11.0,10.0,10.0,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,1.0,2.0,13.0,14.0,14.0,both
